,EM,ES,Comp,CC,DLR,LLR,IE,CIOR,DCall
Human Baseline,1.0,1.0,0.906703146374829,1.2528043775649795,0.004183181199258246,0.044356523859293714,1.9971744810141399,0.0,0.005198358413132695
DeepSeek-Coder,0.3395348837209302,0.5959392309830837,0.25663474692202465,1.9173734610123119,0.058465552335521385,0.03284600012205015,4.024498730464382,0.0,0.024897400820793433
Qwen2.5-Coder,0.16333789329685364,0.3817810834360719,0.35129958960328317,2.1789329685362517,0.06909747180913704,0.03504533966224568,3.803662093655617,0.0,0.029274965800273597
DeepSeek-V4-Flash,0.14719562243502052,0.3450046890036701,0.6415868673050615,2.7496580027359783,0.09540604205162463,0.04153273498827496,3.485940676366365,0.0,0.03392612859097127
Repoformer,0.4210670314637483,0.6918422439223773,0.21778385772913816,7.7701778385772915,0.10700266248832124,0.03854866736435493,3.1108489609497214,0.8205283453575435,0.016689466484268126
mini-swe-agent,0.25471956224350206,0.4303193844947427,0.4024623803009576,12.767715458276333,0.052809220739485296,0.03384129376689857,2.678275228078593,0.8246197777955603,0.0106703146374829
