,DExec,DFS,DNet,DProc,DDes,DNB
Human Baseline,0.0038303693570451436,0.0005471956224350205,0.00027359781121751026,0.0005471956224350205,0.0,0.0
DeepSeek-Coder,0.007660738714090287,0.009575923392612859,0.004651162790697674,0.0024623803009575923,0.0005471956224350205,0.0
Qwen2.5-Coder,0.01094391244870041,0.0106703146374829,0.004103967168262655,0.0035567715458276333,0.0,0.0
DeepSeek-V4-Flash,0.01039671682626539,0.007660738714090288,0.0016415868673050615,0.013406292749658003,0.0008207934336525308,0.0
Repoformer,0.009302325581395349,0.003283173734610123,0.0024623803009575923,0.0013679890560875513,0.00027359781121751026,0.0
mini-swe-agent,0.007387140902872777,0.0013679890560875513,0.001094391244870041,0.0008207934336525308,0.0,0.0
