,Correctness,Executability,Engineering Quality,Contextual Coherence,Risk Exposure
Human Baseline,1.0,0.6752960227272727,0.9757,0.16682236754304014,0.9948269001193791
DeepSeek-Coder,0.4677,0.2996854802221156,0.95435,0.09951238929246692,0.9757049468240805
Qwen2.5-Coder,0.27254999999999996,0.3329371118940514,0.9479500000000001,0.10408643337427399,0.971534052268532
DeepSeek-V4-Flash,0.24609999999999999,0.45414400085340156,0.93155,0.11146035355224147,0.9672115291614276
Repoformer,0.55645,0.1659112426170441,0.92725,0.5318808261165711,0.983574309039048
mini-agent,0.3425,0.23756688662594333,0.9567,0.5482323600576353,0.9894132779261898
