,Correctness,Executability,Engineering Quality,Contextual Coherence,Risk Exposure
Human Baseline,1.0,0.6752971646374994,0.9757301474707241,0.16682378792669333,0.9948285247686445
DeepSeek-Coder,0.46773705735200694,0.29970441275576987,0.9543442237712142,0.09951241443617366,0.9757074212493326
Qwen2.5-Coder,0.27255948836646277,0.3329352754798411,0.9479285942643086,0.10408725473433474,0.971557682083998
DeepSeek-V4-Flash,0.2461001557193453,0.4541389279976603,0.9315306114800502,0.11145934288301881,0.9671870865308282
Repoformer,0.5564546376930628,0.1659033155437143,0.927224335073662,0.5318935501503502,0.9835844994617869
mini-swe-agent,0.34251947336912236,0.23754803600012409,0.9566747427468081,0.5482431644132133,0.9894423389279913
